Kecamatan,Penduduk
Pasar Rebo,225379
Ciracas,303325
Cipayung,295829
Makasar,210004
Kramat Jati,301271
Jatinegara,306489
Duren Sawit,417226
Cakung,565764
Pulogadung,282833
Matraman,175763
Kota Jakarta Timur,3083883
Kembangan,334115.0
Kebon Jeruk,383168.0
Palmerah,206353.0
Grogol Petamburan,241564.0
Tambora,241889.0
Taman Sari,110252.0
Cengkareng,601156.0
Kalideres,471436.0
Jakarta Barat,2589933.0
Jagakarsa,383.4
Pasar Minggu,304.3
Cilandak,201.6
Pesanggrahan,246.9
Kebayoran Lama,308.5
Kebayoran Baru,139.6
Mampang Prapatan,145.4
Pancoran,168.6
Tebet,221.2
Setiabudi,107.4
Kota Jakarta Selatan,2226.8
Penjaringan,314543.0
Pademangan,163995.0
Tanjung Priok,403467.0
Koja,337685.0
Kelapa Gading,137530.0
Cilincing,436330.0
Jakarta Utara,1793550.0
Tanah Abang,146867
Menteng,68309
Senen,96783
Johar Baru,119015
Cempaka Putih,85380
Kemayoran,225776
Sawah Besar,100801
Gambir,921344
Jakarta Pusat,78413
